Test Date,Confirmed (by PCR) COVID Cases
3/8/20,2
3/9/20,1
3/10/20,1
3/11/20,0
3/12/20,1
3/13/20,1
3/14/20,0
3/15/20,1
3/16/20,4
3/17/20,3
3/18/20,1
3/19/20,1
3/20/20,5
3/21/20,5
3/22/20,1
3/23/20,8
3/24/20,9
3/25/20,6
3/26/20,11
3/27/20,7
3/28/20,6
3/29/20,2
3/30/20,6
3/31/20,12
4/1/20,8
4/2/20,12
4/3/20,15
4/4/20,15
4/5/20,12
4/6/20,20
4/7/20,22
4/8/20,17
4/9/20,22
4/10/20,20
4/11/20,21
4/12/20,7
4/13/20,29
4/14/20,27
4/15/20,19
4/16/20,23
4/17/20,25
4/18/20,6
4/19/20,6
4/20/20,28
4/21/20,11
4/22/20,30
4/23/20,29
4/24/20,14
4/25/20,10
4/26/20,7
4/27/20,19
4/28/20,13
4/29/20,17
4/30/20,15
5/1/20,13
5/2/20,14
5/3/20,5
5/4/20,14
5/5/20,7
5/6/20,9
5/7/20,13
5/8/20,13
5/9/20,8
5/10/20,5
5/11/20,9
5/12/20,11
5/13/20,20
5/14/20,12
5/15/20,14
5/16/20,3
5/17/20,0
5/18/20,20
5/19/20,5
5/20/20,8
5/21/20,5
5/22/20,10
5/23/20,3
5/24/20,1
5/25/20,2
5/26/20,6
5/27/20,9
5/28/20,8
5/29/20,11
5/30/20,0
5/31/20,1
6/1/20,3
6/2/20,8
6/3/20,2
6/4/20,2
6/5/20,7
6/6/20,3
6/7/20,1
6/8/20,2
6/9/20,4
6/10/20,3
6/11/20,3
6/12/20,1
6/13/20,1
6/14/20,0
6/15/20,7
6/16/20,6
6/17/20,4
6/18/20,7
6/19/20,4
6/20/20,1
6/21/20,2
6/22/20,4
6/23/20,2
6/24/20,3
6/25/20,3
6/26/20,5
6/27/20,2
6/28/20,0
6/29/20,1
6/30/20,1
7/1/20,0
7/2/20,1
7/3/20,2
7/4/20,0
7/5/20,0
7/6/20,2
7/7/20,1
7/8/20,3
7/9/20,1
7/10/20,2
7/11/20,3
7/12/20,0
7/13/20,4
7/14/20,2
7/15/20,3
7/16/20,2
7/17/20,7
7/18/20,0
7/19/20,0
7/20/20,0
7/21/20,1
7/22/20,5
7/23/20,0
7/24/20,5
7/25/20,0
7/26/20,0
7/27/20,4
7/28/20,1
7/29/20,7
7/30/20,1
7/31/20,6
8/1/20,1
8/2/20,2
8/3/20,3
8/4/20,4
8/5/20,7
8/6/20,2
8/7/20,1
8/8/20,1
8/9/20,0
8/10/20,7
8/11/20,1
8/12/20,4
8/13/20,5
8/14/20,1
8/15/20,3
8/16/20,0
8/17/20,7
8/18/20,6
8/19/20,6
8/20/20,2
8/21/20,4
8/22/20,2
8/23/20,1
8/24/20,6
8/25/20,5
8/26/20,4
8/27/20,6
8/28/20,10
8/29/20,3
8/30/20,0
8/31/20,15
9/1/20,13
9/2/20,4
9/3/20,4
9/4/20,14
9/5/20,1
9/6/20,1
9/7/20,5
9/8/20,7
9/9/20,6
9/10/20,6
9/11/20,3
9/12/20,1
9/13/20,1
9/14/20,2
9/15/20,5
9/16/20,2
9/17/20,2
9/18/20,7
9/19/20,0
9/20/20,0
9/21/20,9
9/22/20,0
9/23/20,2
9/24/20,6
9/25/20,2
9/26/20,4
9/27/20,4
9/28/20,12
9/29/20,5
9/30/20,4
10/1/20,6
10/2/20,6
10/3/20,3
10/4/20,3
10/5/20,15
10/6/20,6
10/7/20,6
10/8/20,7
10/9/20,7
10/10/20,2
10/11/20,1
10/12/20,6
10/13/20,12
10/14/20,2
10/15/20,8
10/16/20,18
10/17/20,3
10/18/20,0
10/19/20,4
10/20/20,7
10/21/20,4
10/22/20,8
10/23/20,2
10/24/20,7
10/25/20,3
10/26/20,7
10/27/20,6
10/28/20,11
10/29/20,18
10/30/20,16
10/31/20,11
11/1/20,2
11/2/20,13
11/3/20,12
11/4/20,19
11/5/20,26
11/6/20,27
11/7/20,11
11/8/20,5
11/9/20,31
11/10/20,29
11/11/20,29
11/12/20,35
11/13/20,29
11/14/20,20
11/15/20,8
11/16/20,51
11/17/20,23
11/18/20,36
11/19/20,31
11/20/20,51
11/21/20,7
11/22/20,7
11/23/20,34
11/24/20,39
11/25/20,42
11/26/20,5
11/27/20,31
11/28/20,21
11/29/20,9
11/30/20,35
12/1/20,33
12/2/20,50
12/3/20,36
12/4/20,39
12/5/20,13
12/6/20,14
12/7/20,57
12/8/20,40
12/9/20,43
12/10/20,58
12/11/20,43
12/12/20,25
12/13/20,11
12/14/20,59
12/15/20,44
12/16/20,43
12/17/20,15
12/18/20,51
12/19/20,24
12/20/20,13
12/21/20,40
12/22/20,44
12/23/20,34
12/24/20,13
12/25/20,2
12/26/20,20
12/27/20,11
12/28/20,64
12/29/20,63
12/30/20,46
12/31/20,33
1/1/21,7
1/2/21,31
1/3/21,19
1/4/21,79
1/5/21,57
1/6/21,72
1/7/21,63
1/8/21,48
1/9/21,23
1/10/21,22
1/11/21,42
1/12/21,49
1/13/21,28
1/14/21,47
1/15/21,33
1/16/21,20
1/17/21,11
1/18/21,29
1/19/21,37
1/20/21,27
1/21/21,17
1/22/21,38
1/23/21,16
1/24/21,12
1/25/21,27
1/26/21,13
1/27/21,25
1/28/21,32
1/29/21,30
1/30/21,13
1/31/21,17
2/1/21,29
2/2/21,20
2/3/21,31
2/4/21,26
2/5/21,9
2/6/21,12
2/7/21,3
2/8/21,14
2/9/21,22
2/10/21,22
2/11/21,12
2/12/21,17
2/13/21,9
2/14/21,4
2/15/21,17
2/16/21,23
2/17/21,18
2/18/21,22
2/19/21,16
2/20/21,8
2/21/21,17
2/22/21,21
2/23/21,18
2/24/21,12
2/25/21,15
2/26/21,23
2/27/21,11
2/28/21,6
3/1/21,22
3/2/21,21
3/3/21,12
3/4/21,19
3/5/21,22
3/6/21,10
3/7/21,5
3/8/21,24
3/9/21,17
3/10/21,18
3/11/21,12
3/12/21,28
3/13/21,11
3/14/21,11
3/15/21,19
3/16/21,16
3/17/21,28
3/18/21,26
3/19/21,21
3/20/21,12
3/21/21,13
3/22/21,21
3/23/21,20
3/24/21,22
3/25/21,17
3/26/21,24
3/27/21,6
3/28/21,10
3/29/21,22
3/30/21,12
3/31/21,24
4/1/21,32
4/2/21,14
4/3/21,13
4/4/21,15
4/5/21,21
4/6/21,26
4/7/21,23
4/8/21,15
4/9/21,8
4/10/21,11
4/11/21,9
4/12/21,19
4/13/21,14
4/14/21,19
4/15/21,15
4/16/21,4
4/17/21,4
4/18/21,3
4/19/21,7
4/20/21,6
4/21/21,10
4/22/21,7
4/23/21,12
4/24/21,5
4/25/21,1
4/26/21,17
4/27/21,14
4/28/21,12
4/29/21,5
4/30/21,10
5/1/21,2
5/2/21,3
5/3/21,8
5/4/21,6
5/5/21,10
5/6/21,11
5/7/21,6
5/8/21,4
5/9/21,1
5/10/21,1
5/11/21,2
5/12/21,7
5/13/21,3
5/14/21,2
5/15/21,2
5/16/21,0
5/17/21,0
5/18/21,4
5/19/21,12
5/20/21,3
5/21/21,1
5/22/21,0
5/23/21,1
5/24/21,7
5/25/21,2
5/26/21,1
5/27/21,2
5/28/21,0
5/29/21,0
5/30/21,2
5/31/21,1
6/1/21,0
6/2/21,4
6/3/21,2
6/4/21,0
6/5/21,0
6/6/21,0
6/7/21,0
6/8/21,1
6/9/21,0
6/10/21,1
6/11/21,1
6/12/21,0
6/13/21,0
6/14/21,0
6/15/21,0
6/16/21,2
6/17/21,0
6/18/21,0
6/19/21,0
6/20/21,0
6/21/21,1
6/22/21,7
6/23/21,0
6/24/21,1
6/25/21,2
6/26/21,2
6/27/21,0
6/28/21,2
6/29/21,0
6/30/21,0
7/1/21,0
7/2/21,1
7/3/21,1
7/4/21,0
7/5/21,0
7/6/21,0
7/7/21,4
7/8/21,2
7/9/21,3
7/10/21,0
7/11/21,0
7/12/21,5
7/13/21,2
7/14/21,8
7/15/21,3
7/16/21,5
7/17/21,3
7/18/21,2
7/19/21,3
7/20/21,3
7/21/21,7
7/22/21,8
7/23/21,9
7/24/21,4
7/25/21,6
7/26/21,9
7/27/21,13
7/28/21,8
7/29/21,10
7/30/21,9
7/31/21,5
8/1/21,9
8/2/21,15
8/3/21,9
8/4/21,8
8/5/21,9
8/6/21,14
8/7/21,7
8/8/21,6
8/9/21,14
8/10/21,9
8/11/21,12
8/12/21,9
8/13/21,9
8/14/21,3
8/15/21,5
8/16/21,9
8/17/21,12
8/18/21,11
8/19/21,12
8/20/21,12
8/21/21,16
8/22/21,9
8/23/21,10
8/24/21,11
8/25/21,12
8/26/21,18
8/27/21,15
8/28/21,1
8/29/21,5
8/30/21,6
8/31/21,13
9/1/21,17
9/2/21,13
9/3/21,15
9/4/21,4
9/5/21,2
9/6/21,4
9/7/21,17
