Timestamp,Ward,Envelope Postmarked:,Language submitted in:,1. How happy do you feel right now?,2. How satisfied are you with your life in general?,3. How satisfied are you with Somerville as a place to live?,4. How satisfied are you with your neighborhood?,5. Do you feel the City is headed in the right direction or is it on the wrong track?,6a. How would you rate the availability of information about city services?,6b. How would you rate the cost of housing?,6c. How would you rate the overall quality of public schools?,6d. How would you rate your trust in the local police?,6e. How would you rate the maintenance of streets and sidewalks?,6f. How would you rate the availability of social community events?,"7. In the past year, have you used 311 (via phone, online, etc)?","8. In the past year, did you attend a City led meeting?",9. How safe do you feel crossing a busy street in Somerville?,10. How convenient is it for you to get where you want to go? ,11. How safe do you feel walking in your neighborhood at night?,12. How satisfied are you with the appearance of parks and squares in your neighborhood?,13. How satisfied are you with the beauty or physical setting of your neighborhood?,14. How satisfied are you with the condition of your housing?,"15. In the past year, how satisfied were you with your ability to access City services?",1. What is your gender ,What is your age?,3. What language(s) do you speak at home?,4. What is your race or ethnicity?,5. Do you identify as having a disability and/or physical impairment that substantially limits one or more of your major activities?,6. Do you have children age 18 or younger who live with you?,7. Describe your housing status in Somerville.,8a. Do you plan to move away from Somerville in the next two years?,"8b. If yes, why?",9. What is your annual household income?,10. Are you a student?,11. How long have you lived in Somerville?,12. What is your primary mode of transportation? ,Any comments?
2021/07/13 9:14:44 AM EST,2,6/8/21,English,8,7,7,6,Right direction,4,1,3,3,1,4,"Yes, once",No,5,3,7,7,4,7,7,Female,47,English,White,No,Yes,Own,No,,"$200,000 or more",No,13 years,Walk;Public transit;Car,
2021/07/13 9:27:50 AM EST,6,6/8/21,English,7,6,9,9,Right direction,4,4,2,4,3,,"Yes, more than once",No,9,9,7,8,8,8,,Female,51,English,White,No,No,Own,No,,,No,10 yrs,Walk;Car,
2021/07/13 9:28:16 AM EST,7,6/8/21,English,8,8,8,6,Not sure,4,2,3,5,2,4,No,No,4,8,7,6,5,5,7,Male,27,English,White,No,No,Rent,No,,"$100,000 to $149,999",No,5 Years,Car,
2021/07/13 9:31:58 AM EST,1,,English,5,5,4,2,Wrong track,5,1,3,3,1,3,No,No,1,4,4,4,1,3,5,Male,33,,,No,No,Rent,Yes,"Neighborhood, Jobs","$150,000 to 200,000",No,1,Car,
2021/07/13 9:35:20 AM EST,7,6/15/21,English,10,10,10,10,Right direction,5,3,4,4,3,4,No,No,9,10,9,9,8,9,9,Female,77,English,White,No,No,Own,No,,,No,,Car,
2021/07/13 9:41:16 AM EST,6,6/16/21,English,6,7,7,8,Not sure,4,3,,4,3,1,No,No,9,7,8,10,8,8,7,Female,23,english,White,No,No,Rent,Yes,closer to city,"$50,000 to 74,999",No,1 year,Walk;Car,
2021/07/13 9:47:49 AM EST,6,6/8/21,English,6,6,3,6,Wrong track,3,1,,5,2,3,"Yes, once","Yes, once",5,2,5,1,3,10,3,Male,68,English,White,Yes,No,Rent,Yes,"Price, Lack of input","$75,000 to $99,999",No,30 yrs,Car,
2021/07/13 9:53:17 AM EST,2,6/16/21,English,8,8,8,8,Not sure,4,1,3,2,4,4,"Yes, once",No,8,8,8,7,7,9,8,Female,27,English,Asian,No,No,Rent,Yes,High cost of living,"$75,000 to $99,999",Yes,5,Walk;Public transit,
2021/07/13 9:57:38 AM EST,4,6/16/21,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I WILL BE HAPPY WHEN BIDEN IS OUT OF OFFICE! THIS GUY AND IDIOT
2021/07/13 10:01:08 AM EST,3,6/15/21,English,9,9,9,10,Not sure,5,2,4,5,1,5,No,No,9,7,8,10,8,10,10,Female,28,Turkish,White,No,No,Own,No,,"$100,000 to $149,999",No,4 years,Bike,
